Suhu Udara (°C),Tekanan Udara Area Pit (hPa),Kelembapan Jalur Hauling (%),Kecepatan Angin (m/s),Curah Hujan (mm),Kepadatan Dump Truck (Unit/Jam),Indeks Aktivitas Blasting (Ppm),Debu_1_Jam_Lalu,Debu_2_Jam_Lalu,Tren_Suhu_3Jam,Tren_Truk_3Jam
23.0,1003.6,20.0,1.0,0.0,1600.0,12.0,46.0,46.0,22.966666666666672,1433.3333333333333
23.8,1003.8,19.7,1.7,0.0,1800.0,16.0,50.0,46.0,23.200000000000006,1600.0
24.5,1003.5,20.4,1.2,0.0,1800.0,17.0,53.0,50.0,23.76666666666667,1733.3333333333333
24.7,1002.9,20.4,1.1,0.0,1900.0,16.0,57.0,53.0,24.33333333333334,1833.3333333333333
25.5,1002.5,20.3,1.1,0.0,1900.0,14.0,65.0,57.0,24.900000000000006,1866.6666666666667
26.4,1001.9,20.7,1.5,0.0,1800.0,10.0,75.0,65.0,25.533333333333335,1866.6666666666667
25.7,1001.2,20.5,1.9,0.0,1800.0,12.0,79.0,75.0,25.86666666666667,1833.3333333333333
25.8,1001.0,20.8,1.6,0.0,1800.0,13.0,88.0,79.0,25.96666666666667,1800.0
26.0,1000.6,21.0,1.4,0.0,1900.0,16.0,88.0,88.0,25.83333333333334,1833.3333333333333
25.4,1000.5,21.1,1.4,0.0,2000.0,16.0,80.0,88.0,25.733333333333338,1900.0
24.7,1000.3,20.8,1.2,0.0,2000.0,13.0,80.0,80.0,25.366666666666674,1966.6666666666667
24.5,1000.2,21.0,1.3,0.0,1400.0,11.0,73.0,80.0,24.866666666666674,1800.0
23.9,1000.2,22.2,1.8,0.8,600.0,7.0,69.0,73.0,24.36666666666667,1333.3333333333333
23.5,999.9,21.8,0.7,0.1,600.0,6.0,52.0,69.0,23.96666666666667,866.6666666666666
23.5,999.7,21.6,1.0,0.1,500.0,6.0,44.0,52.0,23.633333333333336,566.6666666666666
23.7,998.6,21.6,1.3,0.1,500.0,10.0,48.0,44.0,23.566666666666674,533.3333333333334
23.3,997.7,21.2,1.0,0.1,500.0,8.0,40.0,48.0,23.500000000000004,500.0
23.1,997.2,21.0,1.8,0.0,500.0,8.0,29.0,40.0,23.366666666666674,500.0
22.6,996.5,21.4,1.1,0.9,500.0,7.0,22.0,29.0,23.000000000000004,500.0
22.3,995.5,21.5,1.4,0.7,600.0,6.0,21.0,22.0,22.66666666666667,533.3333333333334
22.0,995.5,21.5,2.0,6.0,1100.0,4.0,23.0,21.0,22.300000000000008,733.3333333333334
22.3,995.3,22.0,0.8,0.3,800.0,2.0,30.0,23.0,22.200000000000006,833.3333333333334
22.3,995.4,22.0,0.4,0.4,700.0,2.0,54.0,30.0,22.200000000000006,866.6666666666666
22.4,995.3,22.1,0.4,0.8,1600.0,3.0,55.0,54.0,22.33333333333334,1033.3333333333333
22.4,995.3,22.1,1.2,0.1,2100.0,4.0,48.0,55.0,22.36666666666667,1466.6666666666667
22.4,995.2,22.1,0.8,0.0,2600.0,4.0,52.0,48.0,22.4,2100.0
22.7,994.6,22.2,0.9,0.0,3300.0,6.0,52.0,52.0,22.5,2666.6666666666665
24.2,994.2,22.6,0.9,0.0,3000.0,6.0,64.0,52.0,23.100000000000005,2966.6666666666665
25.9,993.7,22.4,0.7,0.0,2600.0,4.0,67.0,64.0,24.26666666666667,2966.6666666666665
25.8,993.4,22.3,0.5,0.0,2100.0,7.0,106.0,67.0,25.3,2566.6666666666665
26.3,992.9,22.2,0.6,0.0,2000.0,8.0,101.0,106.0,26.000000000000004,2233.3333333333335
26.1,992.9,23.0,1.5,0.0,2000.0,8.0,89.0,101.0,26.066666666666674,2033.3333333333333
25.9,992.3,22.4,0.8,0.0,2000.0,9.0,89.0,89.0,26.100000000000005,2000.0
25.4,992.8,22.5,1.1,0.0,2200.0,8.0,79.0,89.0,25.800000000000008,2066.6666666666665
24.9,993.2,22.6,0.7,0.0,2100.0,8.0,19.0,79.0,25.400000000000002,2100.0
23.7,992.9,22.1,0.6,0.0,2000.0,8.0,72.0,19.0,24.66666666666667,2100.0
23.2,993.0,22.4,0.6,0.0,2200.0,6.0,69.0,72.0,23.933333333333337,2100.0
23.2,993.0,22.5,1.0,0.0,2300.0,6.0,67.0,69.0,23.366666666666674,2166.6666666666665
22.6,992.9,21.9,0.0,0.0,2400.0,6.0,86.0,67.0,23.000000000000004,2300.0
22.6,993.0,22.3,0.2,0.0,2200.0,6.0,95.0,86.0,22.8,2300.0
22.4,993.5,22.1,0.2,0.0,2300.0,3.0,86.0,95.0,22.533333333333342,2300.0
22.2,993.6,21.9,0.6,0.0,2300.0,4.0,89.0,86.0,22.400000000000006,2266.6666666666665
21.8,993.5,21.6,0.4,0.0,2400.0,5.0,107.0,89.0,22.133333333333336,2333.3333333333335
23.9,993.4,12.5,1.8,0.0,2300.0,6.0,116.0,107.0,22.633333333333336,2333.3333333333335
24.2,994.4,11.2,2.4,0.0,1400.0,6.0,95.0,116.0,23.3,2033.3333333333333
24.8,995.0,9.5,2.6,0.0,700.0,4.0,80.0,95.0,24.3,1466.6666666666667
24.7,995.7,10.2,1.5,0.0,200.0,5.0,32.0,80.0,24.566666666666674,766.6666666666666
26.1,996.2,11.8,2.5,0.0,200.0,5.0,14.0,32.0,25.200000000000003,366.6666666666667
26.9,996.1,11.8,3.6,0.0,200.0,3.0,12.0,14.0,25.900000000000006,200.0
27.3,996.0,11.7,4.4,0.0,200.0,4.0,11.0,12.0,26.76666666666667,200.0
26.8,997.3,11.3,5.1,0.0,200.0,5.0,11.0,11.0,27.000000000000004,200.0
27.0,997.3,10.7,3.2,0.0,200.0,2.0,7.0,11.0,27.033333333333335,200.0
26.8,998.1,10.9,3.0,0.0,200.0,1.0,6.0,7.0,26.866666666666674,200.0
26.9,998.0,11.0,3.1,0.0,200.0,1.0,3.0,6.0,26.900000000000006,200.0
27.1,998.3,10.3,3.7,0.0,200.0,3.0,6.0,3.0,26.933333333333337,200.0
27.1,998.8,9.9,4.9,0.0,200.0,3.0,5.0,6.0,27.033333333333342,200.0
26.2,999.4,9.9,4.8,0.0,200.0,2.0,7.0,5.0,26.800000000000008,200.0
25.1,999.6,10.2,3.6,0.0,200.0,1.0,10.0,7.0,26.13333333333334,200.0
23.8,1000.2,10.8,1.8,0.0,200.0,2.0,5.0,10.0,25.033333333333342,200.0
22.5,1001.3,11.9,1.2,0.0,200.0,3.0,4.0,5.0,23.8,200.0
22.0,1001.9,12.0,1.5,0.0,200.0,4.0,7.0,4.0,22.76666666666667,200.0
21.9,1002.3,12.7,1.5,0.0,400.0,6.0,12.0,7.0,22.133333333333336,266.6666666666667
22.2,1003.1,12.7,2.2,0.0,400.0,6.0,11.0,12.0,22.033333333333335,333.3333333333333
22.0,1004.2,13.1,2.0,0.0,400.0,6.0,11.0,11.0,22.033333333333335,400.0
20.6,1005.4,13.8,1.7,0.0,200.0,2.0,12.0,11.0,21.600000000000005,333.3333333333333
19.6,1005.8,13.5,2.5,0.0,200.0,2.0,11.0,12.0,20.733333333333338,266.6666666666667
19.5,1006.0,12.5,1.7,0.0,200.0,3.0,5.0,11.0,19.900000000000006,200.0
18.9,1006.3,13.5,2.0,0.0,100.0,1.0,3.0,5.0,19.33333333333334,166.66666666666666
18.3,1006.6,14.2,1.0,0.0,100.0,3.0,4.0,3.0,18.900000000000002,133.33333333333334
18.2,1007.2,13.3,0.9,0.0,200.0,1.0,3.0,4.0,18.466666666666672,133.33333333333334
19.1,1007.9,13.5,1.2,0.0,200.0,1.0,4.0,3.0,18.533333333333335,166.66666666666666
20.8,1008.3,12.7,1.8,0.0,300.0,2.0,6.0,4.0,19.36666666666667,233.33333333333334
23.2,1008.6,11.3,3.1,0.0,300.0,2.0,10.0,6.0,21.033333333333342,266.6666666666667
24.5,1008.5,11.1,2.2,0.0,300.0,1.0,7.0,10.0,22.83333333333334,300.0
25.5,1008.1,9.3,3.0,0.0,200.0,1.0,6.0,7.0,24.400000000000006,266.6666666666667
26.2,1007.5,9.5,2.5,0.0,200.0,1.0,5.0,6.0,25.400000000000006,233.33333333333334
26.5,1006.9,11.0,2.4,0.0,200.0,1.0,3.0,5.0,26.066666666666674,200.0
27.4,1006.0,8.8,2.0,0.0,200.0,1.0,3.0,3.0,26.700000000000003,200.0
27.9,1005.3,9.2,1.8,0.0,200.0,1.0,5.0,3.0,27.26666666666667,200.0
28.3,1005.2,9.1,1.8,0.0,200.0,2.0,7.0,5.0,27.86666666666667,200.0
28.5,1004.9,7.7,2.2,0.0,200.0,2.0,3.0,7.0,28.233333333333338,200.0
27.0,1004.8,11.5,1.0,0.0,200.0,4.0,5.0,3.0,27.933333333333337,200.0
21.7,1004.9,13.3,0.0,0.0,300.0,5.0,8.0,5.0,25.733333333333338,233.33333333333334
19.4,1005.3,13.1,0.0,0.0,300.0,4.0,10.0,8.0,22.700000000000006,266.6666666666667
18.7,1006.0,14.6,0.7,0.0,500.0,4.0,11.0,10.0,19.933333333333337,366.6666666666667
17.5,1006.3,14.9,0.0,0.0,600.0,4.0,16.0,11.0,18.533333333333335,466.6666666666667
17.0,1006.4,13.5,0.0,0.0,500.0,2.0,25.0,16.0,17.733333333333338,533.3333333333334
16.3,1006.5,13.4,0.6,0.0,500.0,4.0,22.0,25.0,16.933333333333337,533.3333333333334
15.5,1006.3,13.2,0.0,0.0,600.0,6.0,25.0,22.0,16.26666666666667,533.3333333333334
15.1,1006.2,14.0,0.7,0.0,500.0,6.0,30.0,25.0,15.633333333333338,533.3333333333334
15.2,1006.3,13.4,0.5,0.0,600.0,7.0,22.0,30.0,15.266666666666671,566.6666666666666
14.6,1006.2,12.8,0.6,0.0,600.0,6.0,22.0,22.0,14.96666666666667,566.6666666666666
14.0,1006.3,12.4,0.0,0.0,500.0,6.0,25.0,22.0,14.600000000000003,566.6666666666666
13.8,1006.9,12.2,0.5,0.0,200.0,6.0,22.0,25.0,14.13333333333334,433.3333333333333
15.8,1007.5,12.4,1.0,0.0,400.0,5.0,18.0,22.0,14.533333333333339,366.6666666666667
20.8,1007.7,12.0,1.5,0.0,500.0,6.0,15.0,18.0,16.800000000000008,366.6666666666667
23.8,1008.0,11.5,1.4,0.0,400.0,11.0,21.0,15.0,20.13333333333334,433.3333333333333
26.2,1007.8,11.1,2.3,0.0,500.0,17.0,21.0,21.0,23.600000000000005,466.6666666666667
28.0,1007.2,11.5,1.7,0.0,500.0,16.0,21.0,21.0,26.000000000000004,466.6666666666667
29.1,1006.9,10.7,0.7,0.0,400.0,12.0,17.0,21.0,27.76666666666667,466.6666666666667
30.3,1006.3,9.2,2.5,0.0,300.0,7.0,9.0,17.0,29.133333333333336,400.0
30.2,1005.8,11.2,2.6,0.0,300.0,6.0,4.0,9.0,29.86666666666667,333.3333333333333
30.5,1005.0,11.0,2.8,0.0,300.0,4.0,8.0,4.0,30.33333333333334,300.0
29.9,1005.0,10.9,3.9,0.0,200.0,4.0,8.0,8.0,30.200000000000003,266.6666666666667
29.3,1005.0,11.4,2.2,0.0,300.0,3.0,12.0,8.0,29.900000000000006,266.6666666666667
27.7,1005.1,10.0,2.4,0.0,200.0,3.0,11.0,12.0,28.96666666666667,233.33333333333334
25.7,1005.3,10.7,1.6,0.0,200.0,3.0,15.0,11.0,27.566666666666674,233.33333333333334
23.6,1005.9,13.2,1.5,0.0,200.0,2.0,12.0,15.0,25.66666666666667,200.0
21.0,1006.1,13.2,0.5,0.0,300.0,2.0,11.0,12.0,23.433333333333337,233.33333333333334
19.0,1006.5,13.8,1.0,0.0,300.0,2.0,13.0,11.0,21.200000000000006,266.6666666666667
20.2,1006.7,13.9,1.1,0.0,300.0,2.0,14.0,13.0,20.066666666666674,300.0
20.8,1007.3,14.0,1.5,0.0,600.0,5.0,15.0,14.0,20.000000000000004,400.0
20.2,1007.8,15.6,1.3,0.0,700.0,8.0,23.0,15.0,20.400000000000006,533.3333333333334
19.0,1007.8,15.5,1.6,0.0,1000.0,7.0,46.0,23.0,20.000000000000004,766.6666666666666
17.8,1007.9,15.2,1.5,0.0,1400.0,10.0,55.0,46.0,19.000000000000004,1033.3333333333333
17.2,1007.8,15.2,0.7,0.0,1200.0,10.0,62.0,55.0,18.000000000000004,1200.0
17.1,1008.1,14.9,1.2,0.0,1100.0,11.0,43.0,62.0,17.36666666666667,1233.3333333333333
16.6,1008.7,14.8,1.2,0.0,1000.0,11.0,32.0,43.0,16.966666666666672,1100.0
17.4,1008.9,14.9,1.6,0.0,900.0,7.0,28.0,32.0,17.033333333333335,1000.0
20.3,1009.0,15.1,1.9,0.0,900.0,8.0,38.0,28.0,18.100000000000005,933.3333333333334
22.6,1009.2,15.2,1.9,0.0,1000.0,10.0,38.0,38.0,20.100000000000005,933.3333333333334
24.6,1009.1,15.5,1.7,0.0,900.0,12.0,41.0,38.0,22.50000000000001,933.3333333333334
25.5,1008.8,15.5,1.9,0.0,700.0,14.0,39.0,41.0,24.233333333333338,866.6666666666666
27.1,1008.0,14.8,2.0,0.0,600.0,13.0,32.0,39.0,25.733333333333338,733.3333333333334
28.2,1007.4,14.1,1.5,0.0,600.0,14.0,34.0,32.0,26.933333333333337,633.3333333333334
29.2,1006.9,13.8,2.5,0.0,600.0,13.0,30.0,34.0,28.16666666666667,600.0
30.0,1005.7,14.1,0.8,0.0,600.0,13.0,26.0,30.0,29.133333333333336,600.0
30.2,1005.8,13.9,1.6,0.0,700.0,12.0,30.0,26.0,29.8,633.3333333333334
29.6,1006.0,14.6,1.2,0.0,800.0,12.0,34.0,30.0,29.933333333333337,700.0
26.8,1006.4,14.9,0.8,0.0,900.0,11.0,46.0,34.0,28.866666666666674,800.0
26.1,1006.8,15.2,1.0,0.0,1100.0,11.0,43.0,46.0,27.500000000000004,933.3333333333334
25.7,1007.9,15.4,1.0,0.0,800.0,12.0,43.0,43.0,26.200000000000006,933.3333333333334
22.9,1009.3,16.2,1.9,0.0,900.0,12.0,53.0,43.0,24.900000000000006,933.3333333333334
21.4,1009.4,16.6,0.8,0.0,800.0,9.0,58.0,53.0,23.33333333333334,833.3333333333334
19.3,1009.2,16.3,0.5,0.0,700.0,7.0,58.0,58.0,21.200000000000003,800.0
18.6,1009.2,16.4,1.0,0.0,700.0,6.0,55.0,58.0,19.766666666666673,733.3333333333334
19.6,1009.0,16.1,0.6,0.0,700.0,6.0,48.0,55.0,19.166666666666675,700.0
18.2,1009.1,16.2,1.0,0.0,700.0,6.0,49.0,48.0,18.800000000000008,700.0
19.0,1009.7,14.9,1.7,0.0,800.0,7.0,59.0,49.0,18.933333333333337,733.3333333333334
18.0,1010.0,14.5,1.2,0.0,200.0,3.0,62.0,59.0,18.400000000000006,566.6666666666666
17.2,1010.3,14.1,0.8,0.0,200.0,3.0,28.0,62.0,18.06666666666667,400.0
16.7,1011.0,13.8,0.5,0.0,300.0,2.0,20.0,28.0,17.300000000000008,233.33333333333334
17.8,1011.6,14.3,1.3,0.0,300.0,4.0,17.0,20.0,17.233333333333338,266.6666666666667
20.4,1011.8,15.0,1.8,0.0,400.0,3.0,15.0,17.0,18.300000000000004,333.3333333333333
22.5,1011.7,14.9,0.8,0.0,600.0,6.0,21.0,15.0,20.233333333333338,433.3333333333333
24.2,1012.0,13.7,1.4,0.0,1000.0,16.0,23.0,21.0,22.36666666666667,666.6666666666666
25.3,1011.6,14.7,1.5,0.0,1100.0,17.0,30.0,23.0,24.000000000000004,900.0
26.2,1010.9,14.3,0.8,0.0,800.0,14.0,37.0,30.0,25.233333333333338,966.6666666666666
27.3,1010.1,16.6,1.5,0.0,700.0,12.0,36.0,37.0,26.26666666666667,866.6666666666666
27.9,1009.5,15.5,1.0,0.0,700.0,13.0,34.0,36.0,27.133333333333336,733.3333333333334
28.6,1008.4,15.5,1.7,0.0,700.0,13.0,39.0,34.0,27.933333333333337,700.0
28.4,1008.0,15.0,1.5,0.0,700.0,13.0,42.0,39.0,28.3,700.0
27.9,1007.8,15.5,1.8,0.0,900.0,13.0,47.0,42.0,28.3,766.6666666666666
26.2,1008.2,16.2,0.9,0.0,1200.0,20.0,47.0,47.0,27.500000000000004,933.3333333333334
24.4,1008.5,16.4,0.9,0.0,1500.0,24.0,64.0,47.0,26.16666666666667,1200.0
23.6,1009.7,16.9,1.2,0.0,1400.0,24.0,72.0,64.0,24.733333333333338,1366.6666666666667
22.0,1010.2,18.0,0.6,0.0,1200.0,13.0,72.0,72.0,23.33333333333334,1366.6666666666667
20.5,1010.6,17.9,1.0,0.0,1100.0,13.0,76.0,72.0,22.033333333333342,1233.3333333333333
20.3,1011.0,18.1,1.4,0.0,1000.0,11.0,88.0,76.0,20.933333333333337,1100.0
20.3,1010.9,18.2,0.0,0.0,1300.0,12.0,90.0,88.0,20.36666666666667,1133.3333333333333
19.4,1011.0,18.4,0.5,0.0,1100.0,10.0,80.0,90.0,20.000000000000004,1133.3333333333333
19.2,1010.8,17.5,1.3,0.0,1500.0,9.0,80.0,80.0,19.633333333333336,1300.0
19.0,1010.6,17.5,1.1,0.0,1700.0,8.0,87.0,80.0,19.200000000000003,1433.3333333333333
19.0,1010.6,17.5,1.4,0.0,1300.0,6.0,100.0,87.0,19.066666666666674,1500.0
19.1,1011.1,17.6,1.2,0.0,1200.0,5.0,122.0,100.0,19.03333333333334,1400.0
18.8,1011.5,17.3,0.8,0.0,1000.0,4.0,123.0,122.0,18.966666666666672,1166.6666666666667
19.2,1011.7,17.7,1.3,0.0,1000.0,5.0,121.0,123.0,19.03333333333334,1066.6666666666667
20.7,1012.1,17.5,0.7,0.0,800.0,4.0,95.0,121.0,19.566666666666674,933.3333333333334
22.0,1012.4,17.6,0.0,0.0,800.0,4.0,70.0,95.0,20.63333333333334,866.6666666666666
23.9,1012.4,18.3,1.2,0.0,800.0,5.0,59.0,70.0,22.200000000000003,800.0
25.6,1012.1,18.0,2.5,0.0,900.0,8.0,64.0,59.0,23.83333333333334,833.3333333333334
26.7,1011.3,18.8,1.5,0.0,900.0,9.0,66.0,64.0,25.400000000000006,866.6666666666666
27.3,1010.4,18.0,1.3,0.0,900.0,11.0,70.0,66.0,26.533333333333342,900.0
27.9,1009.5,19.7,0.9,0.0,1000.0,14.0,78.0,70.0,27.3,933.3333333333334
28.5,1008.7,18.3,0.8,0.0,1000.0,13.0,88.0,78.0,27.900000000000006,966.6666666666666
28.1,1008.2,17.9,2.4,0.0,1100.0,15.0,92.0,88.0,28.16666666666667,1033.3333333333333
26.9,1008.2,18.2,1.4,0.0,1100.0,16.0,100.0,92.0,27.83333333333334,1066.6666666666667
26.1,1008.7,18.0,1.8,0.0,1100.0,18.0,99.0,100.0,27.033333333333335,1100.0
25.5,1009.4,18.4,1.9,0.0,1000.0,17.0,106.0,99.0,26.16666666666667,1066.6666666666667
24.6,1009.9,18.8,0.8,0.0,1100.0,15.0,106.0,106.0,25.400000000000006,1066.6666666666667
24.4,1010.2,18.6,0.8,0.0,1000.0,14.0,114.0,106.0,24.83333333333334,1033.3333333333333
24.3,1010.6,18.9,0.9,0.0,900.0,13.0,120.0,114.0,24.433333333333337,1000.0
24.1,1010.7,18.7,1.0,0.0,800.0,17.0,91.0,120.0,24.26666666666667,900.0
23.6,1010.9,18.7,2.1,0.0,800.0,24.0,98.0,91.0,24.00000000000001,833.3333333333334
22.6,1010.8,19.4,0.2,0.0,900.0,19.0,119.0,98.0,23.433333333333337,833.3333333333334
21.6,1010.5,19.2,0.6,0.0,900.0,18.0,122.0,119.0,22.600000000000005,866.6666666666666
20.8,1010.8,19.1,2.6,0.0,1000.0,14.0,137.0,122.0,21.66666666666667,933.3333333333334
18.4,1010.7,17.6,0.4,0.6,1200.0,9.0,146.0,137.0,20.26666666666667,1033.3333333333333
18.3,1011.4,17.8,1.2,0.3,1100.0,8.0,151.0,146.0,19.16666666666667,1100.0
18.6,1010.9,18.3,0.9,0.0,600.0,2.0,138.0,151.0,18.43333333333334,966.6666666666666
18.7,1011.4,18.4,0.8,0.0,700.0,1.0,41.0,138.0,18.533333333333342,800.0
18.6,1011.2,18.1,1.4,0.0,700.0,1.0,38.0,41.0,18.63333333333334,666.6666666666666
19.2,1011.4,18.7,0.7,0.1,700.0,1.0,40.0,38.0,18.83333333333334,700.0
20.2,1011.6,18.9,1.2,0.0,800.0,2.0,46.0,40.0,19.33333333333334,733.3333333333334
20.8,1011.7,18.7,1.1,0.0,900.0,1.0,34.0,46.0,20.066666666666674,800.0
19.5,1011.5,18.5,2.0,0.6,800.0,3.0,54.0,34.0,20.16666666666667,833.3333333333334
19.3,1011.0,18.1,1.5,1.3,800.0,3.0,53.0,54.0,19.86666666666667,833.3333333333334
20.0,1009.9,18.5,0.8,0.1,1100.0,2.0,34.0,53.0,19.600000000000005,900.0
21.5,1009.4,18.5,1.2,0.0,1000.0,2.0,64.0,34.0,20.26666666666667,966.6666666666666
22.2,1009.4,18.4,1.1,0.0,900.0,3.0,61.0,64.0,21.233333333333338,1000.0
22.0,1009.4,18.2,0.8,0.0,1000.0,5.0,58.0,61.0,21.900000000000006,966.6666666666666
21.2,1009.4,18.6,0.2,0.0,1000.0,6.0,45.0,58.0,21.800000000000008,966.6666666666666
20.5,1009.5,19.0,0.4,0.0,900.0,5.0,59.0,45.0,21.233333333333338,966.6666666666666
20.0,1009.9,19.0,1.2,0.7,1000.0,5.0,55.0,59.0,20.566666666666674,966.6666666666666
19.3,1010.6,18.6,1.2,3.2,1000.0,5.0,45.0,55.0,19.933333333333337,966.6666666666666
19.1,1010.4,18.6,2.8,1.8,1200.0,1.0,63.0,45.0,19.466666666666672,1066.6666666666667
18.2,1010.1,17.7,1.2,3.9,1100.0,3.0,61.0,63.0,18.866666666666674,1100.0
18.3,1009.8,17.8,1.5,0.5,700.0,1.0,79.0,61.0,18.53333333333334,1000.0
18.1,1009.8,17.8,1.2,0.6,400.0,1.0,55.0,79.0,18.200000000000006,733.3333333333334
17.9,1009.6,17.6,1.0,1.1,400.0,1.0,25.0,55.0,18.100000000000005,500.0
17.0,1009.2,16.5,1.3,0.8,300.0,4.0,24.0,25.0,17.66666666666667,366.6666666666667
16.9,1009.0,16.6,1.1,0.2,300.0,2.0,21.0,24.0,17.26666666666667,333.3333333333333
17.0,1009.0,16.7,0.2,0.1,200.0,3.0,16.0,21.0,16.966666666666672,266.6666666666667
17.0,1008.9,16.7,0.6,0.0,300.0,1.0,16.0,16.0,16.966666666666672,266.6666666666667
16.5,1008.9,16.3,0.6,0.0,200.0,1.0,7.0,16.0,16.83333333333334,233.33333333333334
18.7,1009.1,17.2,1.2,0.0,300.0,2.0,16.0,7.0,17.400000000000006,266.6666666666667
21.4,1009.1,15.9,1.0,0.0,300.0,2.0,7.0,16.0,18.86666666666667,266.6666666666667
23.5,1009.2,15.5,2.1,0.0,400.0,4.0,10.0,7.0,21.200000000000003,333.3333333333333
24.6,1008.8,16.1,1.1,0.0,300.0,4.0,10.0,10.0,23.16666666666667,333.3333333333333
25.8,1008.2,14.3,0.5,0.0,200.0,4.0,10.0,10.0,24.63333333333334,300.0
26.5,1007.6,13.3,2.3,0.0,300.0,5.0,9.0,10.0,25.63333333333334,266.6666666666667
27.9,1007.2,13.8,0.8,0.0,300.0,7.0,12.0,9.0,26.733333333333338,266.6666666666667
27.4,1006.8,14.4,0.7,0.0,300.0,7.0,14.0,12.0,27.26666666666667,300.0
28.0,1006.7,14.3,0.7,0.0,200.0,6.0,14.0,14.0,27.76666666666667,266.6666666666667
26.3,1006.7,15.4,1.6,0.0,300.0,6.0,13.0,14.0,27.233333333333338,266.6666666666667
24.6,1007.1,15.5,1.5,0.0,300.0,4.0,9.0,13.0,26.300000000000008,266.6666666666667
22.6,1007.7,17.5,1.9,0.0,400.0,9.0,17.0,9.0,24.500000000000004,333.3333333333333
21.0,1009.4,17.0,1.1,0.0,1000.0,13.0,27.0,17.0,22.733333333333338,566.6666666666666
19.9,1010.5,15.7,1.7,0.0,1300.0,13.0,39.0,27.0,21.16666666666667,900.0
19.0,1011.1,15.5,1.0,0.0,1300.0,11.0,41.0,39.0,19.966666666666672,1200.0
19.1,1011.1,15.6,1.4,0.0,1200.0,12.0,39.0,41.0,19.33333333333334,1266.6666666666667
18.8,1011.3,15.7,0.9,0.0,1200.0,13.0,45.0,39.0,18.966666666666672,1233.3333333333333
18.7,1011.2,15.9,0.7,0.0,1200.0,12.0,39.0,45.0,18.866666666666674,1200.0
18.5,1010.7,15.7,0.5,0.0,1200.0,13.0,44.0,39.0,18.66666666666667,1200.0
18.4,1010.7,16.2,0.1,0.0,1200.0,14.0,39.0,44.0,18.533333333333335,1200.0
18.2,1010.5,15.8,0.9,0.0,1300.0,15.0,52.0,39.0,18.36666666666667,1233.3333333333333
18.5,1011.3,16.1,0.9,0.0,1400.0,17.0,43.0,52.0,18.36666666666667,1300.0
18.2,1012.0,16.5,1.0,0.1,1400.0,17.0,43.0,43.0,18.300000000000008,1366.6666666666667
17.7,1011.4,17.1,1.7,1.3,1100.0,14.0,45.0,43.0,18.133333333333336,1300.0
18.3,1011.8,17.0,0.5,0.0,1100.0,6.0,43.0,45.0,18.066666666666674,1200.0
19.6,1012.0,16.2,0.4,0.0,1200.0,8.0,36.0,43.0,18.533333333333335,1133.3333333333333
20.9,1011.8,16.3,0.9,0.0,1400.0,12.0,57.0,36.0,19.600000000000005,1233.3333333333333
22.2,1011.5,16.5,0.8,0.0,1300.0,17.0,45.0,57.0,20.900000000000006,1300.0
23.7,1011.1,16.2,0.8,0.0,1100.0,16.0,62.0,45.0,22.26666666666667,1266.6666666666667
25.1,1010.5,16.3,1.4,0.0,1100.0,15.0,61.0,62.0,23.66666666666667,1166.6666666666667
25.4,1009.8,17.1,2.3,0.0,1100.0,9.0,64.0,61.0,24.733333333333338,1100.0
25.4,1009.2,16.5,3.0,0.0,1100.0,11.0,49.0,64.0,25.3,1100.0
25.6,1008.9,16.4,3.4,0.0,1100.0,11.0,67.0,49.0,25.466666666666672,1100.0
24.9,1009.1,16.6,2.4,0.0,1100.0,16.0,67.0,67.0,25.3,1100.0
23.7,1008.9,17.0,1.6,0.0,1100.0,20.0,63.0,67.0,24.733333333333338,1100.0
22.7,1009.5,17.2,1.2,0.0,1200.0,19.0,66.0,63.0,23.76666666666667,1133.3333333333333
21.6,1010.0,17.6,1.1,0.0,1600.0,18.0,75.0,66.0,22.66666666666667,1300.0
19.7,1010.6,17.8,0.1,0.0,1800.0,17.0,93.0,75.0,21.33333333333334,1533.3333333333333
19.7,1011.1,18.4,1.3,0.0,1900.0,15.0,109.0,93.0,20.33333333333334,1766.6666666666667
19.9,1011.3,18.7,0.0,0.0,2100.0,17.0,119.0,109.0,19.76666666666667,1933.3333333333333
19.4,1011.2,18.6,0.2,0.0,2300.0,17.0,105.0,119.0,19.66666666666667,2100.0
18.7,1011.1,17.9,0.7,0.0,2500.0,17.0,98.0,105.0,19.333333333333336,2300.0
18.5,1011.0,17.7,0.8,0.0,2400.0,18.0,101.0,98.0,18.86666666666667,2400.0
18.8,1010.9,17.8,1.0,0.0,2300.0,13.0,106.0,101.0,18.66666666666667,2400.0
18.3,1011.0,17.7,0.6,0.0,2200.0,12.0,102.0,106.0,18.53333333333334,2300.0
17.8,1011.3,17.3,0.8,0.0,1900.0,13.0,129.0,102.0,18.300000000000008,2133.3333333333335
18.2,1011.7,17.7,0.7,0.0,1800.0,13.0,106.0,129.0,18.100000000000005,1966.6666666666667
18.6,1012.3,18.1,1.1,0.0,1800.0,12.0,96.0,106.0,18.200000000000006,1833.3333333333333
19.5,1012.6,17.6,1.2,0.0,1800.0,12.0,95.0,96.0,18.76666666666667,1800.0
22.2,1013.0,16.7,2.1,0.0,1600.0,9.0,96.0,95.0,20.100000000000005,1733.3333333333333
23.9,1013.0,16.9,1.4,0.0,1600.0,13.0,94.0,96.0,21.86666666666667,1666.6666666666667
